Date,Product_ID,Product_Name,Category,Warehouse,Supplier,Current_Stock,Reorder_Point,Safety_Stock,Lead_Time_Days,Units_Sold,Unit_Price,Promotion,Holiday,Season,Supplier_Reliability
2025-03-29,P001,Smartphone X,Electronics,WH001,SUP007,308.0,240.0,140,5.0,36,800,Yes,No,Summer,0.97
2025-03-30,P001,Smartphone X,Electronics,WH001,SUP007,288.0,,140,5.0,20,800,No,No,Summer,
2025-03-31,P001,Smartphone X,Electronics,WH001,SUP007,,240.0,140,5.0,17,800,No,No,Summer,0.97
2025-04-01,P001,Smartphone X,Electronics,WH001,SUP007,250.0,240.0,140,5.0,21,800,No,No,Summer,0.97
2025-04-02,P001,Smartphone X,Electronics,WH001,SUP007,234.0,240.0,140,5.0,16,800,No,No,Summer,0.97
2025-04-03,P001,Smartphone X,Electronics,WH001,,214.0,240.0,140,5.0,20,800,,No,Summer,0.97
2025-04-04,P001,Smartphone X,Electronics,WH001,SUP007,189.0,240.0,140,5.0,25,800,Yes,No,Summer,0.97
2025-04-05,P001,Smartphone X,Electronics,WH001,SUP007,,240.0,140,5.0,22,800,No,No,Summer,0.97
2025-04-06,P001,Smartphone X,Electronics,WH001,SUP007,141.0,,140,5.0,26,800,No,No,Summer,0.97
2025-04-07,P001,Smartphone X,Electronics,WH001,SUP007,544.0,240.0,140,5.0,23,800,No,No,Summer,0.97
2025-04-08,P001,Smartphone X,Electronics,WH001,SUP007,517.0,240.0,140,5.0,27,800,Yes,No,Summer,0.97
2025-04-09,P001,Smartphone X,Electronics,WH001,SUP007,494.0,240.0,140,5.0,23,800,No,No,Summer,0.97
2025-04-10,P001,Smartphone X,Electronics,WH001,SUP007,474.0,240.0,140,5.0,20,800,No,No,Summer,0.97
2025-04-11,P001,Smartphone X,Electronics,WH001,SUP007,451.0,240.0,140,5.0,23,800,No,No,Summer,0.97
2025-04-12,P001,Smartphone X,Electronics,WH001,SUP007,423.0,240.0,140,5.0,28,800,No,No,Summer,0.97
2025-04-13,P001,Smartphone X,Electronics,WH001,SUP007,382.0,240.0,140,5.0,41,800,Yes,No,Summer,0.97
2025-04-14,P001,Smartphone X,Electronics,WH001,SUP007,364.0,240.0,140,5.0,18,800,No,No,Summer,0.97
2025-04-15,P001,Smartphone X,Electronics,WH001,SUP007,342.0,240.0,140,5.0,22,800,No,No,Summer,0.97
2025-04-16,P001,Smartphone X,Electronics,WH001,,320.0,240.0,140,5.0,22,800,No,No,Summer,0.97
2025-04-17,P001,Smartphone X,Electronics,WH001,SUP007,286.0,240.0,140,5.0,34,800,Yes,No,Summer,0.97
2025-04-18,P001,Smartphone X,Electronics,WH001,SUP007,264.0,240.0,140,5.0,22,800,No,No,Summer,0.97
2025-04-19,P001,Smartphone X,Electronics,WH001,SUP007,654.0,240.0,140,5.0,27,800,No,No,Summer,0.97
2025-04-20,P001,Smartphone X,Electronics,WH001,SUP007,210.0,240.0,140,5.0,27,800,No,No,Summer,0.97
2025-04-21,P001,Smartphone X,Electronics,WH001,SUP007,193.0,240.0,140,5.0,17,800,No,No,Summer,0.97
2025-04-22,P001,Smartphone X,Electronics,WH001,SUP007,174.0,240.0,140,5.0,19,800,No,No,Summer,0.97
2025-04-23,P001,Smartphone X,Electronics,WH001,SUP007,158.0,240.0,140,5.0,16,800,No,No,Summer,0.97
2025-04-24,P001,Smartphone X,Electronics,WH001,SUP007,140.0,240.0,140,5.0,18,800,No,No,Summer,0.97
2025-04-25,P001,Smartphone X,Electronics,WH001,SUP007,542.0,240.0,140,5.0,21,800,No,No,Summer,0.97
2025-04-26,P001,Smartphone X,Electronics,WH001,SUP007,508.0,240.0,140,5.0,34,800,Yes,No,Summer,0.97
2025-04-27,P001,Smartphone X,Electronics,WH001,SUP007,487.0,240.0,140,5.0,21,800,No,No,Summer,0.97
2025-04-28,P001,Smartphone X,Electronics,WH001,SUP007,453.0,240.0,140,,34,800,,No,Summer,0.97
2025-04-29,P001,Smartphone X,Electronics,WH001,SUP007,,,140,,18,800,No,No,Summer,0.97
2025-04-30,P001,Smartphone X,Electronics,WH001,SUP007,416.0,240.0,140,5.0,19,800,No,No,Summer,0.97
2025-05-01,P001,Smartphone X,Electronics,WH001,SUP007,400.0,240.0,140,5.0,16,800,,No,Summer,0.97
2025-05-02,P001,Smartphone X,Electronics,WH001,SUP007,376.0,240.0,140,5.0,24,800,Yes,No,Summer,0.97
2025-05-03,P001,Smartphone X,Electronics,WH001,SUP007,352.0,240.0,140,5.0,24,800,No,No,Summer,0.97
2025-05-04,P001,Smartphone X,Electronics,WH001,SUP007,327.0,240.0,140,5.0,25,800,No,No,Summer,0.97
2025-05-05,P001,Smartphone X,Electronics,WH001,SUP007,306.0,240.0,140,5.0,21,800,No,No,Summer,0.97
2025-05-06,P001,Smartphone X,Electronics,WH001,SUP007,287.0,240.0,140,5.0,19,800,No,No,Summer,0.97
2025-05-07,P001,Smartphone X,Electronics,WH001,SUP007,264.0,240.0,140,5.0,23,800,No,No,Summer,0.97
2025-05-08,P001,Smartphone X,Electronics,WH001,SUP007,231.0,240.0,140,21.0,33,800,Yes,No,Summer,0.97
2025-05-09,P001,Smartphone X,Electronics,WH001,SUP007,210.0,240.0,140,5.0,21,800,No,No,Summer,0.97
2025-05-10,P001,Smartphone X,Electronics,WH001,SUP007,185.0,240.0,140,5.0,25,800,No,No,Summer,
2025-05-11,P001,Smartphone X,Electronics,WH001,SUP007,164.0,240.0,140,5.0,21,800,,No,Summer,0.97
2025-05-12,P001,Smartphone X,Electronics,WH001,SUP007,145.0,240.0,140,5.0,19,800,No,No,Summer,0.97
2025-05-13,P001,Smartphone X,Electronics,WH001,SUP007,128.0,240.0,140,5.0,17,800,No,No,Summer,0.97
2025-05-14,P001,Smartphone X,Electronics,WH001,SUP007,538.0,240.0,140,5.0,19,800,No,No,Summer,0.97
2025-05-15,P001,Smartphone X,Electronics,WH001,SUP007,520.0,240.0,140,,18,800,No,No,Summer,0.97
2025-05-16,P001,Smartphone X,Electronics,WH001,SUP007,498.0,240.0,140,5.0,22,800,No,No,Summer,0.97
2025-05-17,P001,Smartphone X,Electronics,WH001,SUP007,476.0,240.0,140,5.0,22,800,,No,Summer,
2025-05-18,P001,Smartphone X,Electronics,WH001,SUP007,451.0,240.0,140,5.0,25,800,No,No,Summer,0.97
2025-05-19,P001,Smartphone X,Electronics,WH001,SUP007,429.0,240.0,140,5.0,22,800,No,No,Summer,0.97
2025-05-20,P001,Smartphone X,Electronics,WH001,SUP007,408.0,240.0,140,5.0,21,800,No,No,Summer,0.97
2025-05-21,P001,Smartphone X,Electronics,WH001,SUP007,390.0,240.0,140,5.0,18,800,No,No,Summer,0.97
2025-05-22,P001,Smartphone X,Electronics,WH001,SUP007,357.0,240.0,140,5.0,33,800,,No,Summer,0.97
2025-05-23,P001,Smartphone X,Electronics,WH001,SUP007,340.0,240.0,140,5.0,17,800,No,No,Summer,0.97
2025-05-24,P001,Smartphone X,Electronics,WH001,SUP007,308.0,240.0,140,5.0,32,800,,No,Summer,
2025-05-25,P001,Smartphone X,Electronics,WH001,SUP007,280.0,240.0,140,5.0,28,800,No,No,Summer,0.97
2025-05-26,P001,Smartphone X,Electronics,WH001,SUP007,258.0,240.0,140,5.0,22,800,No,No,Summer,0.97
2025-05-27,P001,Smartphone X,Electronics,WH001,SUP007,235.0,240.0,140,5.0,23,800,No,No,Summer,0.97
2025-05-28,P001,Smartphone X,Electronics,WH001,SUP007,216.0,240.0,140,5.0,19,800,No,No,Summer,0.97
2025-05-29,P001,Smartphone X,Electronics,WH001,SUP007,185.0,240.0,140,5.0,31,800,Yes,No,Summer,0.97
2025-05-30,P001,Smartphone X,Electronics,WH001,SUP007,155.0,240.0,140,5.0,30,800,Yes,No,Summer,0.97
2025-05-31,P001,Smartphone X,Electronics,WH001,SUP007,135.0,240.0,140,5.0,20,800,No,No,Summer,0.97
2025-06-01,P001,Smartphone X,Electronics,WH001,SUP007,104.0,240.0,140,5.0,31,800,Yes,No,Monsoon,0.97
2025-06-02,P001,Smartphone X,Electronics,WH001,SUP007,82.0,240.0,140,5.0,22,800,No,No,Monsoon,0.97
2025-06-03,P001,Smartphone X,Electronics,WH001,SUP007,485.0,240.0,140,5.0,22,800,No,No,Monsoon,0.97
2025-06-04,P001,Smartphone X,Electronics,WH001,SUP007,462.0,240.0,140,5.0,23,800,No,No,Monsoon,0.97
2025-06-05,P001,Smartphone X,Electronics,WH001,SUP007,439.0,,140,5.0,23,800,No,No,Monsoon,0.97
2025-06-06,P001,Smartphone X,Electronics,WH001,SUP007,419.0,240.0,140,5.0,20,800,No,No,Monsoon,0.97
2025-06-07,P001,Smartphone X,Electronics,WH001,SUP007,395.0,240.0,140,5.0,24,800,No,No,Monsoon,0.97
2025-06-08,P001,Smartphone X,Electronics,WH001,SUP007,371.0,240.0,140,5.0,24,800,No,No,Monsoon,0.97
2025-06-09,P001,Smartphone X,Electronics,WH001,SUP007,350.0,240.0,140,5.0,21,800,No,No,Monsoon,0.97
2025-06-10,P001,Smartphone X,Electronics,WH001,SUP007,332.0,240.0,140,5.0,18,800,No,No,Monsoon,0.97
2025-06-11,P001,Smartphone X,Electronics,WH001,SUP007,311.0,240.0,140,5.0,21,800,No,No,Monsoon,0.97
2025-06-12,P001,Smartphone X,Electronics,WH001,SUP007,291.0,240.0,140,5.0,20,3069,No,No,Monsoon,0.97
2025-06-13,P001,Smartphone X,Electronics,WH001,SUP007,268.0,240.0,140,5.0,23,800,Yes,No,Monsoon,0.97
2025-06-14,P001,Smartphone X,Electronics,WH001,,247.0,240.0,140,5.0,21,800,No,No,Monsoon,0.97
2025-06-15,P001,Smartphone X,Electronics,WH001,SUP007,216.0,240.0,140,5.0,31,800,Yes,No,Monsoon,0.97
2025-06-16,P001,Smartphone X,Electronics,WH001,SUP007,187.0,240.0,140,5.0,29,800,Yes,No,Monsoon,0.97
2025-06-17,P001,Smartphone X,Electronics,WH001,SUP007,167.0,240.0,140,5.0,20,800,No,No,Monsoon,0.97
2025-06-18,P001,Smartphone X,Electronics,WH001,SUP007,150.0,240.0,140,5.0,17,800,No,No,Monsoon,0.97
2025-06-19,P001,Smartphone X,Electronics,WH001,SUP007,127.0,240.0,140,33.0,23,800,No,No,Monsoon,0.97
2025-06-20,P001,Smartphone X,Electronics,WH001,SUP007,550.0,240.0,140,,21,800,No,No,Monsoon,0.97
2025-06-21,P001,Smartphone X,Electronics,WH001,SUP007,524.0,240.0,140,5.0,26,800,No,No,Monsoon,0.97
2025-06-22,P001,Smartphone X,Electronics,WH001,SUP007,505.0,240.0,140,5.0,19,800,No,No,Monsoon,0.97
2025-06-23,P001,Smartphone X,Electronics,WH001,SUP007,483.0,240.0,140,5.0,22,800,No,No,Monsoon,0.97
2025-06-24,P001,Smartphone X,Electronics,WH001,SUP007,460.0,,140,,23,800,No,No,Monsoon,0.97
2025-06-25,P001,Smartphone X,Electronics,WH001,SUP007,439.0,240.0,140,5.0,21,800,No,No,Monsoon,0.97
2025-06-26,P001,Smartphone X,Electronics,WH001,SUP007,419.0,240.0,140,5.0,20,800,No,No,Monsoon,0.97
2025-06-27,P001,Smartphone X,Electronics,WH001,SUP007,402.0,,140,5.0,17,800,No,No,Monsoon,0.97
2025-06-28,P001,Smartphone X,Electronics,WH001,SUP007,383.0,240.0,140,5.0,19,800,No,No,Monsoon,0.97
2025-06-29,P001,Smartphone X,Electronics,WH001,SUP007,358.0,240.0,140,5.0,25,800,No,No,Monsoon,0.97
2025-06-30,P001,Smartphone X,Electronics,WH001,SUP007,341.0,240.0,140,5.0,17,800,No,No,Monsoon,0.97
2025-07-01,P001,Smartphone X,Electronics,WH001,SUP007,324.0,240.0,140,5.0,17,800,,No,Monsoon,0.97
2025-07-02,P001,Smartphone X,Electronics,WH001,SUP007,308.0,240.0,140,5.0,16,800,No,No,Monsoon,0.97
2025-07-03,P001,Smartphone X,Electronics,WH001,SUP007,279.0,240.0,140,5.0,29,800,Yes,No,Monsoon,0.97
2025-07-04,P001,Smartphone X,Electronics,WH001,SUP007,262.0,240.0,140,5.0,17,800,No,No,Monsoon,0.97
2025-07-05,P001,Smartphone X,Electronics,WH001,SUP007,243.0,240.0,140,5.0,19,800,No,No,Monsoon,0.97
2025-07-06,P001,Smartphone X,Electronics,WH001,SUP007,222.0,240.0,140,5.0,21,800,No,No,Monsoon,0.97
2025-07-07,P001,Smartphone X,Electronics,WH001,SUP007,204.0,240.0,140,5.0,18,800,No,No,Monsoon,0.97
2025-07-08,P001,Smartphone X,Electronics,WH001,SUP007,185.0,240.0,140,5.0,19,800,No,No,Monsoon,0.97
2025-07-09,P001,Smartphone X,Electronics,WH001,SUP007,166.0,240.0,140,5.0,19,800,No,No,Monsoon,
2025-07-10,P001,Smartphone X,Electronics,WH001,,150.0,240.0,140,5.0,16,800,No,No,Monsoon,0.97
2025-07-11,P001,Smartphone X,Electronics,WH001,SUP007,122.0,240.0,140,5.0,28,800,Yes,No,Monsoon,0.97
2025-07-12,P001,Smartphone X,Electronics,WH001,SUP007,97.0,240.0,140,5.0,25,800,Yes,No,Monsoon,0.97
2025-07-13,P001,Smartphone X,Electronics,WH001,SUP007,508.0,240.0,140,5.0,27,800,No,No,Monsoon,0.97
2025-07-14,P001,Smartphone X,Electronics,WH001,SUP007,491.0,240.0,140,5.0,17,800,No,No,Monsoon,0.97
2025-07-15,P001,Smartphone X,Electronics,WH001,,475.0,240.0,140,5.0,16,800,No,No,Monsoon,0.97
2025-07-16,P001,Smartphone X,Electronics,WH001,SUP007,456.0,240.0,140,5.0,19,800,No,No,Monsoon,0.97
2025-07-17,P001,Smartphone X,Electronics,WH001,SUP007,438.0,240.0,140,5.0,18,800,No,No,Monsoon,0.97
2025-07-18,P001,Smartphone X,Electronics,WH001,SUP007,415.0,240.0,140,,23,800,No,No,Monsoon,
2025-07-19,P001,Smartphone X,Electronics,WH001,SUP007,389.0,240.0,140,5.0,26,800,No,No,Monsoon,0.97
2025-07-20,P001,Smartphone X,Electronics,WH001,SUP007,367.0,240.0,140,5.0,22,800,No,No,Monsoon,0.97
2025-07-21,P001,Smartphone X,Electronics,WH001,SUP007,344.0,240.0,140,5.0,23,800,No,No,Monsoon,0.97
2025-07-22,P001,Smartphone X,Electronics,WH001,SUP007,321.0,240.0,140,5.0,23,800,No,No,Monsoon,0.97
2025-07-23,P001,Smartphone X,Electronics,WH001,SUP007,298.0,240.0,140,5.0,23,800,No,No,Monsoon,0.97
2025-07-24,P001,Smartphone X,Electronics,WH001,SUP007,278.0,240.0,140,5.0,20,800,No,No,Monsoon,
2025-07-25,P001,Smartphone X,Electronics,WH001,SUP007,261.0,240.0,140,5.0,17,800,No,No,Monsoon,0.97
2025-07-26,P001,Smartphone X,Electronics,WH001,SUP007,239.0,240.0,140,5.0,22,800,No,No,Monsoon,0.97
2025-07-27,P001,Smartphone X,Electronics,WH001,SUP007,213.0,240.0,140,5.0,26,800,No,No,Monsoon,0.97
2025-07-28,P001,Smartphone X,Electronics,WH001,SUP007,197.0,240.0,140,5.0,16,800,No,No,Monsoon,0.97
2025-07-29,P001,Smartphone X,Electronics,WH001,SUP007,166.0,240.0,140,5.0,31,800,Yes,No,Monsoon,0.97
2025-07-30,P001,Smartphone X,Electronics,WH001,SUP007,571.0,240.0,140,5.0,16,800,No,No,Monsoon,0.97
2025-07-31,P001,Smartphone X,Electronics,WH001,SUP007,552.0,240.0,140,5.0,19,800,No,No,Monsoon,0.97
2025-08-01,P001,Smartphone X,Electronics,WH001,SUP007,534.0,240.0,140,5.0,18,800,No,No,Monsoon,0.97
2025-08-02,P001,Smartphone X,Electronics,WH001,SUP007,511.0,240.0,140,5.0,23,800,No,No,Monsoon,0.97
2025-08-03,P001,Smartphone X,Electronics,WH001,SUP007,491.0,240.0,140,5.0,20,800,No,No,Monsoon,0.97
2025-08-04,P001,Smartphone X,Electronics,WH001,SUP007,,240.0,140,5.0,21,800,No,No,Monsoon,0.97
2025-08-05,P001,Smartphone X,Electronics,WH001,SUP007,,,140,5.0,23,800,No,No,Monsoon,0.97
2025-08-06,P001,Smartphone X,Electronics,WH001,SUP007,,240.0,140,5.0,19,800,No,No,Monsoon,0.97
2025-08-07,P001,Smartphone X,Electronics,WH001,,408.0,240.0,140,5.0,20,800,No,No,Monsoon,0.97
2025-08-08,P001,Smartphone X,Electronics,WH001,SUP007,391.0,240.0,140,5.0,17,800,No,No,Monsoon,0.97
2025-08-09,P001,Smartphone X,Electronics,WH001,SUP007,370.0,240.0,140,5.0,21,800,No,No,Monsoon,
2025-08-10,P001,Smartphone X,Electronics,WH001,SUP007,,240.0,140,5.0,26,800,No,No,Monsoon,0.97
2025-08-11,P001,Smartphone X,Electronics,WH001,SUP007,323.0,240.0,140,5.0,21,800,No,No,Monsoon,0.97
2025-08-12,P001,Smartphone X,Electronics,WH001,SUP007,304.0,240.0,140,5.0,19,800,No,No,Monsoon,0.97
2025-08-13,P001,Smartphone X,Electronics,WH001,SUP007,285.0,240.0,140,5.0,19,800,No,No,Monsoon,0.97
